Num,Pilote,Secteur 1,Secteur 2,Secteur 3,Meilleur Tour
81,Piastri,26.06,26.23,26.53,79.87
31,Ocon,26.20,26.79,26.57,80.49
44,Hamilton,26.26,26.06,26.56,81.34
10,Gasly,26.95,26.09,26.27,82.44
2,Sargeant,26.07,26.33,26.08,82.75
14,Alonso,26.30,26.20,26.10,82.89
1,Verstappen,26.33,26.13,26.25,83.14
63,Russell,26.06,26.10,26.22,81.20
4,Norris,26.58,26.10,26.09,84.50
55,Sainz Jr,26.24,26.18,26.08,84.65
77,Bottas,26.05,26.12,26.13,81.62
20,Magnussen,26.51,26.54,26.32,84.79
18,Stroll,26.19,26.27,26.14,85.23
3,Ricciardo,26.58,26.08,26.11,85.26
11,Pérez,26.19,26.63,26.14,85.54
27,Hülkenberg,26.37,26.15,26.62,86.48
16,Leclerc,26.20,26.39,26.11,86.82
22,Tsunoda,26.28,26.14,26.08,87.05
24,Zhou,26.27,27.76,26.90,87.80
23,Albon,26.36,26.09,26.19,88.07
