Num,Pilote,Secteur 1,Secteur 2,Secteur 3,Meilleur Tour
1,Verstappen,26.83,26.06,26.45,85.18
2,Sargeant,26.65,26.98,26.78,88.26
3,Ricciardo,26.72,26.14,26.39,83.53
4,Norris,26.61,26.35,27.20,84.45
10,Gasly,26.29,26.33,26.50,87.05
11,Pérez,26.80,26.72,27.47,86.57
14,Alonso,27.00,27.34,26.07,82.72
16,Leclerc,26.56,26.97,26.71,83.75
18,Stroll,26.42,26.19,26.47,82.83
20,Magnussen,26.85,26.90,26.12,91.81
22,Tsunoda,26.07,26.12,26.07,81.95
23,Albon,26.64,26.40,26.45,79.96
24,Zhou,26.07,26.21,27.10,81.77
27,Hülkenberg,26.54,26.24,27.12,84.50
31,Ocon,26.84,26.31,26.05,80.23
44,Hamilton,26.07,26.86,26.58,87.10
55,Sainz Jr,26.20,26.80,26.35,86.75
63,Russell,26.50,26.25,27.68,83.89
77,Bottas,26.26,26.93,26.44,89.05
81,Piastri,26.88,26.70,26.38,83.87
